id_requisito,tipo,prioridad_moscow,historia_usuario,caso_de_uso,modulo_codigo,endpoint_api,prueba_automatizada,tipo_acceso,evidencia_empirica,estado
REQ-F-001,funcional,Must,HU-AUTH-01,CU-AUTH-01,AuthController/AuthService,POST /api/auth/registro,"AuthServiceTest.registroCorreoDuplicado (1 test, solo cubre el rechazo por correo duplicado, no el flujo exitoso)",CRUD-ORM,—,implementado
REQ-F-002,funcional,Must,HU-AUTH-02,CU-AUTH-02,AuthController/AuthService,POST /api/auth/login,AuthServiceTest.login* (5 tests),CRUD-ORM,docs/mediciones/sec/2026-07-30-owasp-a07-fix-rate-limiting-login.md; docs/mediciones/sec/2026-07-30-owasp-a09-fix-logging-autenticacion.md,verificado
REQ-F-003,funcional,Must,HU-AUTH-03,CU-AUTH-03,AuthController/AuthService,POST /api/auth/logout,AuthServiceTest.logoutGuardaTokenEnBlacklist,CRUD-ORM (bitácora) + Redis (blacklist),docs/mediciones/sec/2026-07-30-owasp-a09-fix-logging-autenticacion.md,verificado
REQ-F-004,funcional,Must,HU-AUTH-04,CU-AUTH-04,AuthController/AuthService,POST /api/auth/refresh,AuthServiceTest.refreshConTokenValido,CRUD-ORM,docs/mediciones/sec/2026-07-21-cookie-refresh-token.md,verificado
REQ-F-005,funcional,Must,HU-LIB-01,CU-LIB-01,LibroController/LibroService,GET /api/v1/libros; GET /api/v1/libros/{id},"LibroServiceTest.listar_retornaPaginaDeLibros; .buscarPorId_cuandoNoExiste_lanzaEntityNotFound; LibroControllerSecurityTest (4 tests, @PreAuthorize real via MockMvc)",CRUD-ORM,docs/mediciones/sec/2026-07-30-owasp-a01-fix-rol-admin-libros.md,verificado
REQ-F-006,funcional,Must,HU-LIB-02,CU-LIB-02,LibroController/LibroService,POST /api/v1/libros; PUT /api/v1/libros/{id}; DELETE /api/v1/libros/{id},"LibroServiceTest.crearLibro_cuandoIsbnNuevo_retornaDTO; .crearLibro_cuandoIsbnDuplicado_lanzaExcepcion; .eliminar_cuandoExiste_loMarcaDadoDeBaja; LibroControllerSecurityTest (4 tests, @PreAuthorize real via MockMvc)",CRUD-ORM,docs/mediciones/sec/2026-07-30-owasp-a01-fix-rol-admin-libros.md,verificado
REQ-F-007,funcional,Must,HU-01 (Cajas),CU-01 (Cajas),PrestamoController/PrestamoService,POST /api/v1/prestamos,"PrestamoServiceTest.crear_conDatosValidos_invocaProcedimientoYRetornaDTO; PrestamoMultaProcedureIntegrationTest (6 tests, integracion real contra Postgres)",SP (sp_crear_prestamo),docs/mediciones/backend/2026-07-29-flujo-prestamo-devolucion-multa-e2e.md,verificado
REQ-F-008,funcional,Must,HU-02 (Cajas),CU-02 (Cajas),PrestamoController/PrestamoService,POST /api/v1/prestamos/{id}/devolucion,PrestamoServiceTest.registrarDevolucion_sinAtraso_noGeneraMulta; .registrarDevolucion_conAtraso_generaMulta; PrestamoMultaProcedureIntegrationTest.registrarDevolucion_* (3 tests),SP (sp_registrar_devolucion),docs/mediciones/backend/2026-07-29-flujo-prestamo-devolucion-multa-e2e.md,verificado
REQ-F-009,funcional,Must,HU-F02 (Panama),CU-F02 (Panama),PrestamoController/PrestamoService + PrestamosLectorComponent,GET /api/v1/prestamos/usuario/{id}; GET /api/v1/prestamos/usuario/{id}/activos,PrestamoServiceTest.listarPorUsuario_cuandoLectorPideOtroUsuario_lanzaAccesoDenegado; prestamos-lector.component.spec.ts (2 tests),CRUD-ORM,docs/mediciones/frontend/2026-07-30-flujo-frontend-prestamos-reservaciones-multas-e2e.md,verificado
REQ-F-010,funcional,Should,—,—,PrestamoController/PrestamoService,GET /api/v1/prestamos/reportes/libros-mas-prestados,PrestamoServiceTest.reporteLibrosMasPrestados_sinLimite_aplicaDefaultDiez,SP (fn_reporte_libros_mas_prestados),—,implementado
